Date,Symbol,Open,High,Low,Close,Adj Close,Volume,VWAP
18-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
21-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
22-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
24-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
25-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
28-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
29-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
30-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
31-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
01-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
04-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
06-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
07-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
08-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
11-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
12-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
13-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
14-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
15-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
18-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
20-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
21-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
22-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
25-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
27-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
28-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
29-08-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
01-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
02-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
03-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
04-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
08-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
09-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
10-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
11-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
12-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
15-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
17-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
18-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
22-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
24-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
25-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
29-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
30-09-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
01-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
